name;description;price;category;mass
NWA 16315 Meteorite 3.50g Slice;When sliced and polished, the interior of NWA 16315 reveals a dark gray interior with white areas and glassy feldspathic melt. 16315-26;175.0;Lunar;3.5
NWA 11788 Lunar Meteorite 3.13g Windowed;11788-162 Lunar Meteorite NWA 11788 is a Feldspathic Breccia.. We are offering small affordable pieces of this interesting lunar meteorite.;281.7;Lunar;3.13
NWA 11700 Meteorite 10.1g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-27;20.2;H4;10.1
NWA 11700 Meteorite 1.7g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-21;3.4;H4;1.7
Dronino Oxide 3.2g;Nearly 3 tons of Dronino meteorite material recovered since 2000. These oxidized irons are weathering products of Dronino meteorite fragments. DROX-54;5.0;Iron, ungrouped;3.2
NWA 11700 Meteorite 5.5g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-32;9.35;H4;5.5
NWA 11788 Lunar Meteorite 1.60g Windowed;Fine fragmental breccia of NWA 11788 and its dark gray matrix make it somewhat different from other Lunar Feldspathic Breccias which consist of larger clasts. 170;144.0;Lunar;1.6
Clarendon (c) Meteorite 3.2g;Clarendon (c) meteorites have a reddish-brown exterior and no fusion crust. The interior of this meteorite is a soft gray color CLAR-13;20.0;L4;3.2
NWA 10256 CR2 Meteorite 0.40g Slice;A rare CR2 10256-12 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;5.0;CR2;0.4
Aguas Zarcas CM2 Meteorite 0.067g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-159;16.75;CM2;0.067
NWA 869 Meteorite 17.4g Slice;NWA 869 meteorite can contain large metal grains, troilite inclusions, giant chondrules, armored chondrules. 869-382;60.9;L3-6;17.4
NWA 11700 Meteorite 5.8g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington. 11700-25;11.6;H4;5.8
Aguas Zarcas CM2 Meteorite 0.289g;Aguas Zarcas stones have a black matrix with Calcium Aluminum Inclusions (CAIs) and chondrules. This is the largest fall of CM-2 meteorites in recent history AZ-162;72.25;CM2;0.289
Laâyoune 002 Lunar Meteorite 0.49g;Laâyoune 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state. LAAY-194;36.75;Lunar;0.49
NWA 10256 CR2 Meteorite 0.33g Slice;A rare 10256-13 CR2 is thought to be heated at higher temperatures, compared to other carbonaceous chondrites (CI/CM) and formed in an aqueous environment.;5.0;CR2;0.33
Campo del Cielo Meteorite 34.6g Crystal;Campo del Cielo meteorites are made up of 93% iron and about 7% nickel. Scientists estimate that Campo del Cielo meteorites are about 4.5 billion years old. CC-141;43.25;Iron, IAB-MG;34.6
Laâyoune 002 Lunar Meteorite 1.40g;Laâyoune 002 is classified as a Lunar Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.LAAY-188;106.0;Lunar;1.4
Aletai Meteorite 14.8g Crystal;Aletai meteorites areALET-144 seen as slices, and can feature inclusions of troilite and schreibersite. Aletai crystals often take on fantastical, angular shapes.;18.5;Iron, IIIAB;14.8
NWA 11700 Meteorite 8.9g;Northwest Africa 11700 is a stone meteorite that was purchased in Morocco in 2017. NWA 11700 was studied at the University of Washington 11700-30;17.8;H4;8.9
Campo del Cielo Meteorite 12.4g Crystal;Campo del Cielo iron meteorite CC-154 first recorded in 1576 by Spanish explorers. However, people native to the area had known about the meteorites for years;15.5;Iron, IAB-MG;12.4
Tassédet 004 Meteorite 21.5g Slice;Tassedet 004 stone meteorites generally rounded stones are dark grey in external appearance sometimes showing evidence of the melt areas inside. TAS-70;64.5;H5;21.5
Laâyoune 002 Lunar Meteorite 0.89g;Laâyoune 002 is classified as a Lunar LAAY-183 Feldspathic Breccia type meteorite and has been given a low shock stage and a low weathering state.;67.75;Lunar;0.89
